virtualX, virtualY, virtualZ, virtualHeading, virtualPitch, virtualRoll, physX, physY, physZ, physHeading, physPitch, physRoll, steeringRate, translationGain, deltaFrameTime, 
#Female, #RDW:SteerToOrbit, #Tracker:WorldVizPPT, #ConstrainedNavigation, #HMD:NvisSX111, 
-5.8905640707, 1.72352323213, -15.3083106362, 109.980861627, -1.22072720528, 6.43247127533, 4.11334098311, 1.72352323213, -7.06488831861, -28.1742744446, -1.22072720528, 6.43247127533, -0.313738572884, 0.853391128395, 0.0320259790159, 
-5.89105686974, 1.72385240681, -15.3085950763, 110.369680241, -0.280674427748, 6.27382230759, 4.113992598, 1.72385240681, -7.0650295647, -27.7955036163, -0.280674427748, 6.27382230759, -0.395170642179, 0.854028160459, 0.0349735453058, 
-5.89145022602, 1.72411574655, -15.3088248257, 111.067207043, 0.960572600365, 5.76167297363, 4.11451388992, 1.72411574655, -7.06514256157, -27.1117973328, 0.960572600365, 5.76167297363, -0.786342765133, 0.855172268357, 0.0345512946845, 
-5.89176666227, 1.72432641834, -15.3090065759, 111.375366804, 1.44540202618, 5.66066026688, 4.11493092345, 1.72432641834, -7.06523295906, -26.8308067322, 1.44540202618, 5.66066026688, -0.688994495511, 0.855644263673, 0.0317211639823, 
-5.89201999936, 1.72449495577, -15.309151972, 111.686330787, 1.59665513039, 5.54116630554, 4.11526455028, 1.72449495577, -7.06530527706, -26.5416984558, 1.59665513039, 5.54116630554, -0.599456670802, 0.856129052733, 0.0330500432348, 
-5.89222290685, 1.72462978572, -15.3092681402, 111.956495716, 1.25614774227, 5.54857254028, 4.11553145174, 1.72462978572, -7.06536313145, -26.2913455963, 1.25614774227, 5.54857254028, -0.544860282512, 0.856548660925, 0.0333985283481, 
-5.89238527654, 1.72473764967, -15.309361183, 112.266954371, 1.11560535431, 5.57643938065, 4.11574497291, 1.72473764967, -7.06540941497, -25.9990844727, 1.11560535431, 5.57643938065, -0.600857057482, 0.857037645462, 0.0330190664117, 
-5.89251521652, 1.72482394084, -15.3094357119, 112.620269223, 0.571699738503, 5.93543291092, 4.11591578985, 1.72482394084, -7.06544644178, -25.6656093597, 0.571699738503, 5.93543291092, -0.718947307356, 0.8575949434, 0.0327138879392, 
-5.89261947825, 1.72489297377, -15.3094949496, 112.763726681, 0.557227611542, 6.10078477859, 4.1160524434, 1.72489297377, -7.06547606324, -25.545671463, 0.557227611542, 6.10078477859, -0.474843943252, 0.85779604473, 0.034023389363, 
-5.89270294454, 1.72494820012, -15.3095422851, 112.878164342, 0.465304523706, 6.1473402977, 4.11616176624, 1.72494820012, -7.0654997604, -25.4473896027, 0.465304523706, 6.1473402977, -0.331207200452, 0.857960811678, 0.0337042592818, 
-5.89276972457, 1.72499238119, -15.309580171, 113.012574582, 0.301464408636, 6.19871044159, 4.11624922451, 1.72499238119, -7.06551871812, -25.3241424561, 0.301464408636, 6.19871044159, -0.317339523005, 0.858166994655, 0.0326481519609, 
-5.89282313923, 1.72502772605, -15.3096105262, 113.199282864, 0.23397308588, 6.28189611435, 4.11631919113, 1.72502772605, -7.06553388431, -25.1477947235, 0.23397308588, 6.28189611435, -0.389363300267, 0.858461524387, 0.0337478635419, 
-5.89286588338, 1.72505600194, -15.3096348226, 113.404424386, 0.129325225949, 6.29859304428, 4.11637516442, 1.72505600194, -7.06554601725, -24.9557933807, 0.129325225949, 6.29859304428, -0.475144218441, 0.858782020095, 0.0328393344687, 
-5.8928999878, 1.72507862265, -15.3096544482, 113.929219319, -0.462639689445, 6.3902130127, 4.11641994305, 1.72507862265, -7.06555572361, -24.4466018677, -0.462639689445, 6.3902130127, -1.04883544775, 0.85963106739, 0.0336485523558, 
-5.89292735685, 1.72509671922, -15.309670062, 114.275189595, -0.718290805817, 6.32514667511, 4.11645576596, 1.72509671922, -7.0655634887, -24.1359233856, -0.718290805817, 6.32514667511, -1.0393947603, 0.860149180676, 0.0337016586794, 
-5.89294926884, 1.72511119648, -15.3096825544, 114.63992893, -1.07223713398, 6.1485786438, 4.11648442429, 1.72511119648, -7.06556970077, -23.8062133789, -1.07223713398, 6.1485786438, -1.08155695277, 0.860698950005, 0.0329598652136, 
-5.89296681976, 1.72512277828, -15.3096925369, 114.98220036, -1.32084548473, 6.04850959778, 4.11650735095, 1.72512277828, -7.06557467042, -23.49958992, -1.32084548473, 6.04850959778, -1.0833388823, 0.861210191223, 0.0327701065735, 
-5.89298088176, 1.72513204373, -15.3097005049, 115.267264708, -1.45572412014, 5.96825408936, 4.11652569228, 1.72513204373, -7.06557864614, -23.2500267029, -1.45572412014, 5.96825408936, -0.978616538503, 0.861626291614, 0.0330543203844, 
-5.89299214474, 1.72513945608, -15.3097068684, 115.513149428, -1.86685907841, 6.09626913071, 4.11654036534, 1.72513945608, -7.06558182672, -23.0364894867, -1.86685907841, 6.09626913071, -0.859584379544, 0.861982316331, 0.0334846263871, 
-5.89300118725, 1.72514538596, -15.3097119106, 115.466639703, -1.98939466476, 6.20592021942, 4.11655210379, 1.72514538596, -7.06558437119, -23.111782074, -1.98939466476, 6.20592021942, -0.365576693706, 0.86185693217, 0.0335090338344, 
-5.89300842719, 1.72515012987, -15.3097159313, 115.333111169, -2.16584134102, 6.26524734497, 4.11656149455, 1.72515012987, -7.06558640676, -23.25756073, -2.16584134102, 6.26524734497, -0.251392118212, 0.861614050531, 0.0330404790462, 
-5.89301422032, 1.725153925, -15.3097191418, 115.157758685, -2.294526577, 6.26318788528, 4.11656900716, 1.725153925, -7.06558803521, -23.4412193298, -2.294526577, 6.26318788528, -0.244776444353, 0.861308019095, 0.0336511208641, 
-5.89301885406, 1.7251569611, -15.3097217078, 114.970885366, -2.45853233337, 6.21167898178, 4.11657501725, 1.7251569611, -7.06558933798, -23.6363296509, -2.45853233337, 6.21167898178, -0.260932149543, 0.86098288821, 0.0327264716317, 
-5.89302256256, 1.72515938998, -15.3097237545, 114.711289683, -3.07637572289, 6.10762453079, 4.11657982532, 1.72515938998, -7.06559038019, -23.9044647217, -3.07637572289, 6.10762453079, -0.305368888619, 0.860536038813, 0.033862551948, 
-5.89302552037, 1.72516133308, -15.3097254044, 114.721630253, -3.07637572289, 6.10762453079, 4.11658367177, 1.72516133308, -7.06559121396, -23.9044647217, -3.07637572289, 6.10762453079, -0.16594470114, 0.860536072722, 0.0347245517739, 
-5.89302789012, 1.72516288757, -15.3097267181, 114.585827286, -3.45337986946, 5.78258514404, 4.11658674894, 1.72516288757, -7.06559188098, -24.0460300446, -3.45337986946, 5.78258514404, -0.169533546151, 0.860300157645, 0.0319073523566, 
-5.8930297833, 1.72516413115, -15.3097277725, 114.56943375, -3.61880278587, 5.63341617584, 4.11658921067, 1.72516413115, -7.06559241459, -24.0678329468, -3.61880278587, 5.63341617584, -0.122972987595, 0.860263841177, 0.0335893543051, 
-5.89303129679, 1.72516512602, -15.3097286178, 114.624208254, -3.80686330795, 5.49126195908, 4.11659118005, 1.72516512602, -7.06559284148, -24.0171890259, -3.80686330795, 5.49126195908, -0.149543053098, 0.860348265074, 0.0323884135438, 
-5.89303250773, 1.72516592192, -15.309729294, 114.681385548, -3.95442008972, 5.34987878799, 4.11659275556, 1.72516592192, -7.06559318299, -23.9648551941, -3.95442008972, 5.34987878799, -0.156661476502, 0.860435502016, 0.0340241609513, 
-5.89303347417, 1.72516655863, -15.3097298394, 114.998515827, -4.10832738876, 5.09123516083, 4.11659401597, 1.72516655863, -7.0655934562, -23.653055191, -4.10832738876, 5.09123516083, -0.642930949639, 0.860955179799, 0.0340182186803, 
-5.88652459657, 1.72592182667, -15.3147464813, 115.199618836, -3.98486948013, 4.98626852036, 4.11479736334, 1.72592182667, -7.05621909693, -23.4738235474, -3.98486948013, 4.98626852036, -0.677252620839, 0.861290921064, 0.0326133077423, 
-5.88226220174, 1.72659640688, -15.317696506, 115.421075715, -3.94764852524, 4.90205097198, 4.11336309592, 1.72659640688, -7.05037398056, -23.2744541168, -3.94764852524, 4.90205097198, -0.700363152391, 0.861643155698, 0.0329353243103, 
-5.87891874957, 1.72739740634, -15.3197294125, 115.653792442, -3.96083235741, 4.81529474258, 4.11202132029, 1.72739740634, -7.04603543228, -23.0648040771, -3.96083235741, 4.81529474258, -0.74611790674, 0.86200459807, 0.0330074565999, 
-5.87584681414, 1.72759854201, -15.321619346, 115.809573003, -3.98169493675, 4.79187440872, 4.11079893537, 1.72759854201, -7.04203383139, -22.9336509705, -3.98169493675, 4.79187440872, -0.605546052782, 0.862234443398, 0.033268467855, 
-5.87304062426, 1.72787766605, -15.3224795739, 115.888012889, -3.99588465691, 4.9520316124, 4.10901313249, 1.72787766605, -7.03913583364, -22.8753566742, -3.99588465691, 4.9520316124, -0.377735267695, 0.862330648522, 0.0337121995492, 
-5.87131345538, 1.72891470957, -15.3233263209, 115.835937376, -3.9228746891, 5.02013969421, 4.10815188852, 1.72891470957, -7.03707814501, -22.9401664734, -3.9228746891, 5.02013969421, -0.203638194492, 0.862226072384, 0.0332220212443, 
-5.86927438611, 1.72932589419, -15.3240441847, 115.514261029, -3.7175245285, 5.05486249924, 4.10690932363, 1.72932589419, -7.03490055291, -23.2686080933, -3.7175245285, 5.05486249924, -0.347847552336, 0.861678960079, 0.0327295672607, 
-5.86756780737, 1.72983474416, -15.3245054371, 115.156108575, -3.50251173973, 5.16645717621, 4.10576125898, 1.72983474416, -7.03320026563, -23.6381454468, -3.50251173973, 5.16645717621, -0.433714759726, 0.861061490314, 0.0340392790389, 
-5.86614995626, 1.73050489846, -15.3249266656, 114.264000117, -2.70244812965, 5.56078529358, 4.1048218044, 1.73050489846, -7.03176216464, -24.5450172424, -2.70244812965, 5.56078529358, -0.705809501304, 0.859549025102, 0.0379670971661, 
