virtualX, virtualY, virtualZ, virtualHeading, virtualPitch, virtualRoll, physX, physY, physZ, physHeading, physPitch, physRoll, steeringRate, translationGain, deltaFrameTime, 
#Male, #RDW:SteerToOrbit, #Tracker:WorldVizPPT, #OpenWorld, #HMD:NvisSX111, 
10.2231835084, 1.6239029384, -1.81844419127, -50.4639872369, -37.4536323547, 7.50871992111, 10.2374594085, 1.6239029384, -1.82146248286, -66.6581497192, -37.4536323547, 7.50871992111, -0.519841761183, 0.872088798426, 0.0165696044241, 
10.2227948773, 1.62343291915, -1.81805824391, -50.4553736645, -37.4536323547, 7.50871992111, 10.2369080321, 1.62343291915, -1.82116177132, -66.6674194336, -37.5094451904, 7.51435279846, -0.335628608571, 0.87207518092, 0.0244901910969, 
10.2245199558, 1.62428125895, -1.81828543041, -50.4564237701, -37.5094451904, 7.51435279846, 10.2388802355, 1.62428125895, -1.8208596444, -66.6786575317, -37.513343811, 7.5914812088, -0.52233121951, 0.872062354058, 0.0145452311036, 
10.2238212467, 1.62358141749, -1.81831832119, -50.46006444, -37.513343811, 7.5914812088, 10.2381214575, 1.62358141749, -1.82111968913, -66.6786575317, -37.513343811, 7.5914812088, -0.470797564207, 0.872058782929, 0.015008274943, 
10.2238212467, 1.62358141749, -1.81831832119, -50.6177782438, -37.4952049255, 7.85802841187, 10.2381214575, 1.62358141749, -1.82111968913, -66.8434371948, -37.4952049255, 7.85802841187, -0.405951612979, 0.871784150158, 0.0175427366811, 
10.2227740611, 1.6232661018, -1.81891186194, -50.6106567415, -37.4952049255, 7.85802841187, 10.2371583442, 1.6232661018, -1.82210904526, -67.0532913208, -37.4713897705, 8.05935573578, -0.181355633792, 0.871423898714, 0.0475409720283, 
10.2244431563, 1.62393462838, -1.81802966062, -50.8118890444, -37.4713897705, 8.05935573578, 10.2387088221, 1.62393462838, -1.82059592566, -67.2908477783, -37.4438095093, 8.20541667938, -0.557229730103, 0.871044145604, 0.0165461795796, 
10.223482883, 1.62318033401, -1.81844304402, -51.0402254787, -37.4438095093, 8.20541667938, 10.2377862886, 1.62318033401, -1.82136373686, -67.5264358521, -37.416053772, 8.35054111481, -0.620255992484, 0.870643073498, 0.0163035358301, 
10.223482883, 1.62318033401, -1.81844304402, -51.2657011866, -37.416053772, 8.35054111481, 10.2377862886, 1.62318033401, -1.82136373686, -67.5264358521, -37.416053772, 8.35054111481, -0.672739944962, 0.870643073498, 0.0170456256486, 
